querry ion,Co-localized ion 0,Co-localized ion 1,Co-localized ion 2,Co-localized ion 3,Co-localized ion 4
212.84825608895812,580.8404376147344,214.85040389554482,390.8578525665499,388.8588600982449,404.8337194451579
214.85040389554482,580.8404376147344,212.84825608895812,388.8588600982449,390.8578525665499,387.85301960434833
221.01862287142538,280.09301619436076,281.0961398505048,648.0811923799386,258.1102509961246,472.0707053549236
222.02876827567178,435.99415879546666,244.01187064166334,1241.692184884546,1258.6725100651192,451.96570967264773
228.93072168475976,1405.8224449521633,1389.8453923224415,233.94754243884518,406.9168679046129,1411.827547014916
229.9379358336693,366.9622577376273,231.94944081154472,232.9443110017553,444.90635756548966,1158.8987233054468
230.92648759170862,740.8797738761749,762.8552769400428,372.883667809008,586.8466697045097,231.93610412369208
230.9461171508732,443.90311517476727,445.9085231217184,232.9443110017553,598.9292975615128,600.9345663765218
231.93610412369208,564.8632184853984,758.8512994359028,566.8649586780848,586.8466697045097,372.883667809008
231.94944081154472,232.9443110017553,790.9191924969684,366.9622577376273,443.90311517476727,230.9461171508732
232.9443110017553,231.94944081154472,443.90311517476727,230.9461171508732,445.9085231217184,790.9191924969684
233.94754243884518,406.9168679046129,228.93072168475976,1405.8224449521633,1389.8453923224415,1411.827547014916
234.94334705245757,1273.7911247027857,406.9168679046129,1411.827547014916,233.94754243884518,1409.81712721335
236.9933071272839,296.06653164979093,297.070414087907,298.06801307600637,1081.66091068273,237.99612615897544
237.99612615897544,298.06801307600637,297.070414087907,1065.6902951023867,236.9933071272839,296.06653164979093
238.9918361927659,664.0539945650318,856.0366855412777,1019.6967650204119,1423.644296508977,1235.6629393004048
239.9203251169556,1164.5446769563314,1148.509699855858,972.5297087422433,956.5333346776499,780.5535253707476
244.01187064166334,358.0460198580466,435.99415879546666,222.02876827567178,451.96570967264773,1241.692184884546
251.9200675989295,252.92723572887255,253.92382962773877,427.92860159418154,428.9321984486555,388.94539068734616
251.9679369282464,291.9220197787274,481.9058460774934,273.95031804769934,541.9147213665227,465.9327384413387
252.92723572887255,253.92382962773877,251.9200675989295,427.92860159418154,388.94539068734616,254.92562462015545
253.92382962773877,252.92723572887255,251.9200675989295,427.92860159418154,388.94539068734616,774.9072338909555
254.92562462015545,620.9145825340014,252.92723572887255,253.92382962773877,251.9200675989295,428.9321984486555
